"","CC-VN-A-bac","CC-VN-B-bac","CC-VN-C-bac","CC-W-A-bac","CC-W-B-bac","CC-W-C-bac","DM-VN-109-bac","DM-VN-111-bac","DM-VN-112-bac","DM-VN-113-bac","DM-W-109-bac","DM-W-111-bac","DM-W-112-bac","DM-W-113-bac","LO-VN-114-bac","LO-VN-115-bac","LO-VN-116-bac","LO-VN-118-bac","LO-W-114-bac","LO-W-115-bac","LO-W-116-bac","LO-W-118-bac","UA-VN-G-bac","UA-VN-I-bac","UA-VN-J-bac","UA-W-G-bac","UA-W-I-bac","UA-W-J-bac"
"ASV147",0,0,0,0,14,31,0,0,0,0,0,0,315,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
"ASV148",0,0,0,0,0,0,0,0,0,0,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV149",0,0,0,0,0,0,0,0,0,0,0,17,112,50,0,0,0,0,0,0,0,199,0,0,0,0,0,0
"ASV150",0,0,0,11,0,0,0,0,0,0,22,6,0,0,0,0,0,0,0,0,0,0,0,0,0,56,167,115
"ASV151",0,0,0,18,0,32,0,0,0,0,50,48,37,169,0,0,0,0,0,0,0,22,0,0,0,0,0,0
"ASV152",0,0,0,0,0,0,0,0,0,0,0,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV153",0,0,0,0,0,0,0,0,0,0,0,234,14,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV154",0,0,0,0,0,0,0,0,0,0,0,0,0,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV155",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,195,138
"ASV156",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361,0,0,0,0,0,8,0,0
"ASV157",0,0,0,0,0,0,0,0,0,0,0,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV158",0,0,0,0,0,126,0,0,0,0,15,31,26,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV159",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,0,0,0,0,0,0
"ASV160",0,0,0,0,0,60,0,0,0,0,69,63,82,47,0,0,0,0,0,26,0,0,0,0,0,0,10,0
"ASV161",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,91,102
"ASV162",0,0,0,0,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV163",0,0,0,43,0,185,0,0,0,0,0,84,33,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
"ASV164",0,0,0,0,0,0,0,0,0,0,0,155,153,39,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"ASV165",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,43,70,50
"ASV166",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349
"ASV167",0,0,0,0,0,0,0,0,322,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV168",0,0,0,87,0,0,0,0,0,0,24,95,40,26,0,0,0,0,0,0,0,0,0,0,0,72,0,0
"ASV169",0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,157,0,19,0,0,0,87,0,0
"ASV170",0,0,0,0,0,63,0,0,0,0,0,40,0,219,0,0,0,0,0,18,0,0,0,0,0,0,0,0
"ASV171",0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV172",0,0,0,0,0,0,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV173",0,0,0,0,0,19,0,0,0,0,21,24,247,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV174",0,0,0,65,0,0,0,0,0,0,48,0,77,47,0,0,0,0,0,0,0,0,0,0,0,16,43,27
"ASV175",0,0,0,0,0,98,0,0,0,0,16,34,0,71,0,0,0,0,0,0,0,0,0,0,0,88,14,0
"ASV176",0,0,0,0,0,0,0,0,0,0,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV177",0,0,0,0,0,29,0,0,0,0,9,9,84,25,0,0,0,0,0,88,65,0,0,0,0,0,11,0
"ASV178",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,126
"ASV179",0,0,0,0,0,0,0,0,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV180",0,0,0,0,0,0,0,0,270,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV181",0,0,0,0,0,0,0,0,138,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,0,0,0
"ASV183",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,12,0,0,0,32,213,0
"ASV184",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,62,90,131
"ASV185",0,0,0,0,0,0,0,0,0,0,23,0,15,52,0,0,0,0,0,0,0,214,0,0,0,0,0,0
"ASV186",0,0,0,0,11,0,0,0,0,0,0,0,33,19,0,0,0,0,0,38,0,0,0,0,0,191,11,0
"ASV187",0,0,0,0,0,0,0,0,0,0,0,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV188",0,0,0,0,0,124,0,0,0,0,0,66,63,11,0,0,0,0,0,38,0,0,0,0,0,0,0,0
"ASV189",0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,16,0,0,0,28,44,0
"ASV190",0,0,0,0,0,40,0,0,0,0,0,32,0,0,0,0,0,0,0,118,108,0,0,0,0,0,0,0
"ASV191",0,0,0,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV192",0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0,0,0,0,0,0
"ASV193",0,0,0,0,0,0,0,0,0,0,248,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV194",0,0,0,0,0,0,0,0,0,0,0,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV195",0,0,0,0,0,0,0,0,0,0,0,55,116,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0
"ASV196",0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265
"ASV197",0,0,0,0,0,0,0,0,0,0,78,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV198",0,0,0,0,0,217,0,0,0,0,0,0,12,49,0,0,0,0,0,0,8,0,0,0,0,0,0,0
"ASV199",0,0,0,0,0,164,0,0,0,0,11,12,14,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV200",0,0,0,0,0,0,0,0,0,0,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV201",0,0,0,98,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,71,0,14,0,0,0,42,0,30
"ASV202",0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,133,67,40
"ASV203",0,0,0,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV204",0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,168,0,0,0,0,0,0
"ASV205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0
"ASV206",0,0,0,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV207",0,0,0,0,0,51,0,0,0,0,109,23,0,0,0,0,0,0,0,0,0,0,0,0,0,43,23,28
"ASV208",0,0,0,0,0,0,0,0,0,0,222,20,0,0,0,0,0,0,0,0,0,0,0,0,0,4,31,0
"ASV209",0,0,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV210",0,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
