"","domain","phylum","class","order","family","genus","species"
"ASV168","Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia","unclassified_Pseudonocardia"
"ASV169","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes","unclassified_Actinoplanes"
"ASV170","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","unclassified_Corynebacterium"
"ASV171","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter","unclassified_Hymenobacter"
"ASV172","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia","unclassified_Devosia"
"ASV173","Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria"
"ASV174","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Falsirhodobacter","unclassified_Falsirhodobacter"
"ASV175","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter","unclassified_Hymenobacter"
"ASV176","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","unclassified_Rhodobacteraceae","unclassified_Rhodobacteraceae"
"ASV177","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas","unclassified_Brevundimonas"
"ASV178","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","unclassified_Pseudomonadaceae","unclassified_Pseudomonadaceae"
"ASV179","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","unclassified_Sphingomonadaceae","unclassified_Sphingomonadaceae"
"ASV180","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Craurococcus-Caldovatus","unclassified_Craurococcus-Caldovatus"
"ASV181","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","unclassified_Bacillus"
"ASV182","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Craurococcus-Caldovatus","unclassified_Craurococcus-Caldovatus"
"ASV183","Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia","unclassified_Pseudonocardia"
"ASV184","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","unclassified_Bacillus"
"ASV185","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","unclassified_Burkholderiales","unclassified_Burkholderiales","unclassified_Burkholderiales"
"ASV186","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Craurococcus-Caldovatus","unclassified_Craurococcus-Caldovatus"
"ASV187","Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia","unclassified_Pseudonocardia"
"ASV188","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Belnapia","unclassified_Belnapia"
"ASV189","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Geodermatophilaceae","Blastococcus","unclassified_Blastococcus"
"ASV190","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","unclassified_Sphingomonadaceae","unclassified_Sphingomonadaceae"
"ASV191","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Cellulomonadaceae","Cellulomonas","unclassified_Cellulomonas"
"ASV192","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Belnapia","unclassified_Belnapia"
"ASV193","Bacteria","Actinobacteriota","Actinobacteria","Streptosporangiales","Streptosporangiaceae","Nonomuraea","unclassified_Nonomuraea"
"ASV194","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Buchnera","unclassified_Buchnera"
"ASV195","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","unclassified_Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"ASV196","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","unclassified_Massilia"
"ASV197","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Craurococcus-Caldovatus","unclassified_Craurococcus-Caldovatus"
"ASV198","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Promicromonosporaceae","unclassified_Promicromonosporaceae","unclassified_Promicromonosporaceae"
"ASV199","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","unclassified_Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"ASV200","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","unclassified_Oxalobacteraceae","unclassified_Oxalobacteraceae"
"ASV201","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium-Methylorubrum","unclassified_Methylobacterium-Methylorubrum"
"ASV202","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","unclassified_Massilia"
"ASV203","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","unclassified_Frankiales","unclassified_Frankiales","unclassified_Frankiales"
"ASV204","Bacteria","Actinobacteriota","Actinobacteria","Kineosporiales","Kineosporiaceae","Kineococcus","unclassified_Kineococcus"
"ASV205","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","unclassified_Mitochondria","unclassified_Mitochondria"
"ASV206","Bacteria","Proteobacteria","Alphaproteobacteria","Azospirillales","Azospirillaceae","Skermanella","unclassified_Skermanella"
"ASV207","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Craurococcus-Caldovatus","unclassified_Craurococcus-Caldovatus"
"ASV208","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter","unclassified_Hymenobacter"
"ASV209","Bacteria","Actinobacteriota","Actinobacteria","Kineosporiales","Kineosporiaceae","Kineococcus","unclassified_Kineococcus"
"ASV210","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","unclassified_Massilia"
"ASV211","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","unclassified_Pseudomonas"
"ASV212","Bacteria","Actinobacteriota","Actinobacteria","Streptosporangiales","Thermomonosporaceae","unclassified_Thermomonosporaceae","unclassified_Thermomonosporaceae"
"ASV213","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas","unclassified_Roseomonas"
"ASV214","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","unclassified_Peptostreptococcales-Tissierellales","Tepidimicrobium","unclassified_Tepidimicrobium"
"ASV215","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","unclassified_Staphylococcus"
"ASV216","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","unclassified_Pedobacter"
"ASV217","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium","unclassified_Chryseobacterium"
"ASV218","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","unclassified_Massilia"
"ASV219","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Rufibacter","unclassified_Rufibacter"
"ASV220","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter","unclassified_Hymenobacter"
"ASV221","Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","unclassified_Streptomyces"
"ASV222","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Geodermatophilaceae","Blastococcus","unclassified_Blastococcus"
"ASV223","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","PMMR1","unclassified_PMMR1"
"ASV224","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Craurococcus-Caldovatus","unclassified_Craurococcus-Caldovatus"
"ASV225","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium-Methylorubrum","unclassified_Methylobacterium-Methylorubrum"
"ASV226","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","unclassified_Staphylococcus"
"ASV227","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter","unclassified_Arthrobacter"
"ASV228","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia","unclassified_Devosia"
"ASV229","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Geodermatophilaceae","Blastococcus","unclassified_Blastococcus"
"ASV230","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","unclassified_Oxalobacteraceae","unclassified_Oxalobacteraceae"
"ASV231","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","unclassified_Microbacteriaceae","unclassified_Microbacteriaceae"
"ASV232","Bacteria","Proteobacteria","Gammaproteobacteria","unclassified_Gammaproteobacteria","unclassified_Gammaproteobacteria","unclassified_Gammaproteobacteria","unclassified_Gammaproteobacteria"
"ASV233","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","unclassified_Chloroplast","unclassified_Chloroplast","unclassified_Chloroplast"
"ASV234","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","unclassified_Rhizobiaceae","unclassified_Rhizobiaceae"
"ASV235","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","unclassified_Enterococcus"
"ASV236","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Geodermatophilaceae","Blastococcus","unclassified_Blastococcus"
"ASV237","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","unclassified_Lactococcus"
"ASV238","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","PMMR1","unclassified_PMMR1"
"ASV239","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","unclassified_Mucilaginibacter"
"ASV240","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","unclassified_Enterobacterales","unclassified_Enterobacterales","unclassified_Enterobacterales"
"ASV241","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","unclassified_Beijerinckiaceae","unclassified_Beijerinckiaceae"
"ASV242","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","unclassified_Massilia"
"ASV243","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","unclassified_Enterococcus"
"ASV244","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Craurococcus-Caldovatus","unclassified_Craurococcus-Caldovatus"
"ASV245","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","unclassified_Erwiniaceae","unclassified_Erwiniaceae"
"ASV246","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","unclassified_Acetobacteraceae","unclassified_Acetobacteraceae"
"ASV247","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","unclassified_Enterobacterales","unclassified_Enterobacterales","unclassified_Enterobacterales"
"ASV248","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomaceae","Larkinella","unclassified_Larkinella"
"ASV249","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter","unclassified_Hymenobacter"
"ASV250","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","unclassified_Massilia"
"ASV251","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","unclassified_Sphingomonadaceae","unclassified_Sphingomonadaceae"
